feature_set,sleep_feature,cv_id,n_test,r2
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,15,367,-0.053474315957370955
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,16,368,-0.05753817893861912
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,17,367,-0.10813186433639244
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,18,367,-0.113460111805187
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,19,367,-0.08613005674236396
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,20,368,-0.027061450193753167
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,21,367,-0.19066355152011094
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,22,367,-0.056501994498748154
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,23,367,-0.1871070975675424
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,24,368,-0.07779030087572458
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,25,367,-0.11150043417320932
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,26,367,-0.16709051309628187
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,27,367,-0.09058181478675653
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,28,368,-0.06850162206445432
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,29,367,-0.06137120073522162
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,30,367,-0.06964248825179475
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,31,367,-0.11458488592029048
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,32,368,-0.10242899772690572
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,33,367,-0.1511955210500917
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,34,367,-0.0931777735025523
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,35,367,-0.10547154726583141
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,36,368,-0.15413823683645478
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,37,367,-0.11368161980456626
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,38,367,-0.04239637659894857
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,39,367,-0.10444633470620701
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,0,368,-0.09905329493225135
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,1,367,-0.23221198890417538
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,2,367,-0.09499959175954231
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,3,367,-0.21612378554867773
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,368,-0.159069066729858
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,5,367,-0.27397891994180545
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,6,367,-0.04853865475283681
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,7,367,-0.19974893864345833
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,8,368,-0.22253406839688528
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,9,367,-0.16133837950186058
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,10,367,-0.08733105656276607
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,11,367,-0.12645345402018293
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,12,368,-0.3080934352152864
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,13,367,-0.09356102713419223
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,14,367,-0.14940170233486927
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,15,367,-0.19940805038797205
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,16,368,-0.12204327671594117
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,17,367,-0.1106578041093067
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,18,367,-0.15572427882357265
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,19,367,-0.05239354567842569
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,20,368,-0.13025511877143892
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,21,367,-0.1774780052946403
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,22,367,-0.13281927264578353
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,23,367,-0.1151587422539242
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,24,368,-0.11582664540343646
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,25,367,-0.221375181465006
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,26,367,-0.14730945051609368
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,27,367,-0.16184324794946958
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,28,368,-0.12441642590798163
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,29,367,-0.10295243538249088
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,30,367,-0.13738129851790704
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,31,367,-0.20643645224495422
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,32,368,-0.051371699323801145
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,33,367,-0.1523473498038832
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,34,367,-0.2788708339510091
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,35,367,-0.08011638099746743
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,36,368,-0.1215621466915584
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,37,367,-0.1473790819217191
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,38,367,-0.15437166440239003
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,39,367,-0.20551753599655442
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,0,368,-0.08216767882877551
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,1,367,-0.13339538341362234
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,2,367,-0.10253817704431989
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,3,367,-0.14566920476121137
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,368,-0.11815095646307672
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,5,367,-0.1339841890767799
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,6,367,-0.0703123584423373
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,7,367,-0.1622903549034811
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,8,368,-0.11675678163249126
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,9,367,-0.08676690521282926
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,10,367,-0.07926993304345542
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,11,367,-0.09654388096694366
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,12,368,-0.16088716168883388
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,13,367,-0.0910467780339268
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,14,367,-0.0669778745037295
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,15,367,-0.150612638189503
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,16,368,-0.15481221236137577
