feature_set,sleep_feature,cv_id,n_test,r2
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,11,367,-0.022302852869421352
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,12,368,-0.025149674769794794
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,13,367,-0.024657311676475446
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,14,367,-0.028032539868465545
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,15,367,-0.05537718208035436
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,16,368,-0.022491795370236378
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,17,367,-0.008023993942675167
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,18,367,-0.07166339904128805
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,19,367,-0.037226005119211925
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,20,368,-0.004808997722021813
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,21,367,-0.02101541603001711
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,22,367,-0.03519485952494961
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,23,367,-0.06861378308498378
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,24,368,-0.008479149296730215
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,25,367,-0.047771830668475346
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,26,367,-0.03651915875680167
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,27,367,-0.05587566537445299
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,28,368,-0.04416726359579415
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,29,367,-0.03645696807909493
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,30,367,-0.021785087231691147
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,31,367,-0.05678240861606465
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,32,368,-0.037313507289521874
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,33,367,-0.05013274674550572
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,34,367,-0.010299097576195848
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,35,367,-0.033355834247854155
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,36,368,-0.06878584758335915
