sleep_feature,n_folds,n_repeats,r2_mean,r2_std,r2_ci_lower,r2_ci_upper
sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.028418813757611218,0.028538365732068836,-0.0768666080733833,0.016076986128398644
sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,-0.026101489146580958,0.022355013796496924,-0.07151318895566253,0.005381554070769663
sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,-0.04138450504011397,0.02428163168263363,-0.08487889991342512,0.0022066788373086253
sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,-0.04065275121917229,0.02856416136246063,-0.09716736195562374,0.0053439774591246625
sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,-0.05668360161808141,0.04468337827049559,-0.1447572581185006,0.010255572401086049
sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,-0.10241747710003997,0.05979558898185339,-0.2095556703769774,-0.004919197054313106
sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.05717220040446871,0.03932864761714727,-0.14267352033948222,0.0015617082545444825
sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,-0.083720132663328,0.052769944989565665,-0.15785893037654372,-0.01972990085070708
sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.043824468212658826,0.02214725633329143,-0.08445663611655439,-0.00399588197499528
sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,-0.016962973387179368,0.023445317238859956,-0.06962200431390753,0.01501966889594493
sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,-0.04544999600573658,0.02907892709024955,-0.12028083774904015,-0.009121960106699417
sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,-0.0451166302350368,0.02281129355905431,-0.10434168255379815,-0.010697809409523617
sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,-0.059599439885831065,0.041360541611986185,-0.14780599478104448,0.01266642419754835
sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,-0.1281702874292845,0.07473907731732378,-0.30611020911087433,-0.032202131834319254
sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.07442736928990029,0.06041239913415823,-0.1632058450515748,-0.0036356643993649095
sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,-0.08668446638291405,0.04778717951959018,-0.1800076109975394,-0.010132320887137754
bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,-0.02250985375305386,0.02127505505122466,-0.0714051956311388,0.016648283902355634
bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,-0.031475191961437686,0.016442734577339618,-0.06663843210256573,-0.0022241546947893423
