sleep_feature,n_folds,n_repeats,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,n_features_dropped_any_fold,n_total_drop_events,dropped_columns_any_fold
sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,0.030776153242082945,0.025970876856274534,-0.026046190596553675,0.0758598621768291,0,0,
sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,-0.0251004514253651,0.013965068282159765,-0.053878457791549296,0.0016822345990916102,0,0,
sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,-0.17985344514539373,0.09688457136881237,-0.4128700702326154,-0.05189165790096107,0,0,
sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,-0.08251733835207462,0.030937294479638378,-0.13684620369963257,-0.03750631970458542,0,0,
sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,-0.001224431293295572,0.03040356101552276,-0.04874520191446361,0.05330978487711434,0,0,
sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,-0.029801702967147292,0.04089020558586468,-0.12007498536453107,0.023534577053614118,1,10,zinc_plasma_or_serum_log1p
sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.05367408560155491,0.028098368488016428,-0.10008336053172319,-0.0048783057746214905,0,0,
sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,0.031213864449063676,0.03835539434539673,-0.041090696253647335,0.09399217015955008,1,10,zinc_plasma_or_serum_log1p
sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,0.003133465333299665,0.02186093593711292,-0.03997556863425994,0.038009434084307424,0,0,
sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,-0.015784623693902326,0.012213118506702711,-0.03969914066093201,0.003977078003466253,0,0,
sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,-0.04259251619835787,0.036254102156841946,-0.1169559746097369,0.014800059493504093,0,0,
sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,-0.031020341603718714,0.013433481507475984,-0.06106159195517165,-0.006210398070204211,0,0,
sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,0.007498168049559653,0.020189492171290714,-0.03871468600434984,0.03807770918504314,0,0,
sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,-0.04655732738450291,0.06250200397087559,-0.17035080022901608,0.024673554398614024,1,10,zinc_plasma_or_serum_log1p
sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.05426912868405467,0.05190152875044513,-0.18818984712269915,0.014392483667050253,0,0,
sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,-0.02753580580791002,0.029303476602502675,-0.10569807913301982,0.017616417333116335,1,10,zinc_plasma_or_serum_log1p
bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,0.04476141379310581,0.014817113476033405,0.022767304263607138,0.06873323158067694,0,0,
bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,-0.00061752423803417,0.012987730321474107,-0.023868460574158864,0.016501813877981532,0,0,
