dependent_feature,independent_feature,formula,error,model_type
sleep_minutesAwake_log1p_resid,diet_freq_meat_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_meat_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_nuts_seeds_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_nuts_seeds_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_oil_rich_fish_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_oil_rich_fish_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_pastries_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_pastries_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_plant_based_protein_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_plant_based_protein_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_potatoes_pasta_rice_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_potatoes_pasta_rice_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_poultry_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_poultry_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_processed_meat_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_processed_meat_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_savory_snacks_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_savory_snacks_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_sweets_chocolates_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_sweets_chocolates_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_white_fish_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_white_fish_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_yogurt_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_yogurt_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,lifestyle_cruciferous_vegetables_enum_daily,sleep_minutesAwake_log1p_resid ~ lifestyle_cruciferous_vegetables_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,lifestyle_snack_enum_daily,sleep_minutesAwake_log1p_resid ~ lifestyle_snack_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,lifestyle_fruits_enum_daily,sleep_minutesAwake_log1p_resid ~ lifestyle_fruits_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,lifestyle_vegetables_enum_daily,sleep_minutesAwake_log1p_resid ~ lifestyle_vegetables_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,lifestyle_sugary_drinks_enum_daily,sleep_minutesAwake_log1p_resid ~ lifestyle_sugary_drinks_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,lifestyle_water_enum_daily,sleep_minutesAwake_log1p_resid ~ lifestyle_water_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_cookies_cakes_scones_int_daily,sleep_minutesAwake_log1p_resid ~ diet_cookies_cakes_scones_int_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,lifestyle_alcohol_drinks_a_day_enum_daily,sleep_minutesAwake_log1p_resid ~ lifestyle_alcohol_drinks_a_day_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_slices_of_bread_int_daily,sleep_minutesAwake_log1p_resid ~ diet_slices_of_bread_int_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,lifestyle_grains_enum_daily,sleep_minutesAwake_log1p_resid ~ lifestyle_grains_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,lifestyle_alcohol_days_a_week_enum_daily,sleep_minutesAwake_log1p_resid ~ lifestyle_alcohol_days_a_week_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,lifestyle_breakfast_enum_daily,sleep_minutesAwake_log1p_resid ~ lifestyle_breakfast_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_alcohol_daily,sleep_timeInBed_log1p_resid ~ diet_freq_alcohol_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_water_daily,sleep_timeInBed_log1p_resid ~ diet_freq_water_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_caffeinated_beverages_daily,sleep_timeInBed_log1p_resid ~ diet_freq_caffeinated_beverages_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_breakfast_daily,sleep_timeInBed_log1p_resid ~ diet_freq_breakfast_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_cruciferous_vegetables_daily,sleep_timeInBed_log1p_resid ~ diet_freq_cruciferous_vegetables_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_snacking_daily,sleep_timeInBed_log1p_resid ~ diet_freq_snacking_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,diet_freq_fresh_fruit_daily,sleep_timeInBed_log1p_resid ~ diet_freq_fresh_fruit_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
