dependent_feature,independent_feature,formula,error,model_type
sleep_minutesAwake_log1p_resid,zinc_plasma_or_serum_log1p,sleep_minutesAwake_log1p_resid ~ zinc_plasma_or_serum_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,zinc_plasma_or_serum_log1p,sleep_timeInBed_log1p_resid ~ zinc_plasma_or_serum_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_std_log1p_resid,zinc_plasma_or_serum_log1p,sleep_minutesAwake_std_log1p_resid ~ zinc_plasma_or_serum_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_timeInBed_std_log1p_resid,zinc_plasma_or_serum_log1p,sleep_timeInBed_std_log1p_resid ~ zinc_plasma_or_serum_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
